name ,   address,   has_events ,   url
Crispy 'n Chips,1616 Albemarle Way   Burlingame   CA   94010,no,
Sfsu Station Cafe,390 Stonecrest Dr   San Francisco   CA   94132,no,No official website
Foundation Cafe & Bakery,24 San Benito Wy   San Francisco   CA   94127,,none
Andrew & Charlie's City Tavern,3200 Fillmore St   San Francisco   CA   94123,no,http://www.charlescitytavern.com/
Bar At California Polk,1548 California St   San Francisco   CA   94109,,None
Clift,495 Geary St   San Francisco   CA   94102,no,www.clifthotel.com
Mission Bay Cafe,Po Box 27806   Albuquerque   NM   87125,,none
Golden Gate Dim Sum Seafd Rest,1829 Clement St   San Francisco   CA   94121,no,http://www.goldengatedimsumsf.com/
The Grange,2639 Lombard St   San Francisco   CA   94123,no,not found
Stacks Restaurant,68 Castro St   San Francisco   CA   94114,no,N/A
Guckenheimer At Fibrogen,3 Lagoon Dr Ste 235   Redwood City   CA   94065,,No official website
Mcdonalds Of Bayshore,411 Borel Ave   Ste 606   San Mateo   CA,no,(none)
La Maison,861 Ashbury St   San Francisco   CA   94117,no,N/A
Mcdonalds #7413,411 Borel Ave   Ste 606   San Mateo   CA,,none
Ha Noi Bistro,1240 Noriega Street   San Francisco   CA   94122,no,NO OFFICIAL WEBSITE FOUND
Catering With Style,2800 Bryant St   San Francisco   CA   94110,no,http://www.cateringwithstyle.ca/
Kirin Restaurant,6135 Geary Blvd   San Francisco   CA   94121,no,http://www.kirinrestaurants.com/
Hillstone Restaurant,2710 E Camelback Rd Ste 200   Phoenix   AZ   85016,no,http://www.hillstone.com/
Hong Kee & Kim,91 Drumm St   San Francisco   CA   94111,no,n/a
Mazzat,501 Fell St   San Francisco   CA   94102,no,http://www.mazzatsf.com/
Preet Palace Indian Cuisine,4038 Judah St   San Francisco   CA   94122,yes,http://www.preetpalace.com/
Bon Appetit Management Co,100 Hamilton Ave #400   Palo Alto   CA   94301,no,http://www.bamco.com/
Brunos Pizza & Restaurant,3323 Nutmeg Ln   Walnut Creek   CA   94598,no,N/A
Infusion Lounge,124 Ellis St   San Francisco   CA   94102,no,http://infusionlounge.com/
Cafe La Onda,3159 16th St   San Francisco   CA   94103,,none
Dibbs Bbq And Grill,1318 43rd Avenue   San Francisco   CA   94122,,none
Red Wings,3015 Geary Blvd   San Francisco   CA   94118,no,http://www.redwingskor.com/
Hollow,1258 12th Ave #3   San Francisco   CA   94122,no,
Delicious Dim Sum,1333 Powell St   San Francisco   CA   94133,no,NA
The Spot,959 Buchanan St #e   San Francisco   CA   94102,no,n/a
Executive Cafe,150 Executive Park Bl #2000   San Francisco   CA   94134,yes,
All Star Cafe,1500 Market St   San Francisco   CA   94102,yes,http://www.allstarcafesportsbar.com/
Newasia Asian Cuisine,50 Post St #62a   San Francisco   CA   94104,no,http://ilovedeals.com/
Hakka Restaurant 4,739 Washington St #300   San Francisco   CA   94108,no,No official website
Kingdom Of Dumpling,2636 Judah St #148   San Francisco   CA   94122,,not found
Yummy House,4829 Mission St   San Francisco   CA   94112,no,http://www.yummyhousetogo.com/
Jenny's Restaurant,91 06th St   San Francisco   CA   94103,no,N/A
Cafe Troya Inc,88 King St #1322   San Francisco   CA   94107,no,N/A
Rogue Ales Public House,2320 Se Osu Drive   Newport   OR   97365,yes,http://www.rogue.com/
Valencia Street Caregivers,208 Valencia St   San Francisco   CA   94103,yes,http://www.valenciacaregivers.com/
Bk 5830,5 Estates Dr   Millbrae   CA   94030,,no official website
Chabaa Thai Cuisine Inc,2123 Irving St   San Francisco   CA   94122,no,http://chabaathaicuisinesf.com/
Chameleon Cafe Llc,1299 Pacific Ave   San Francisco   CA   94109,no,not found
El Paisa Restaurant,3322 Mission St   San Francisco   CA   94110,yes,http://elpaisasf.com
Taco Los Altos,737 Cortland Ave   San Francisco   CA   94110,,none
Cafe La Taza,2475 Mission St   San Francisco   CA   94110,no,http://cafelataza.com/
Chou Chou,400 Dewey Bl   San Francisco   CA   94116,no,http://www.chouchoubistro.com/
Hotel Adagio,1997 Annapolis Exchange Pkwy   Annapolis   MD   21401,yes,http://www.hoteladagiosf.com/
Clement Restaurant Inc,621 Clement St   San Francisco   CA   94118,no,
United Nations Cafe,1 United Nations Plz   San Francisco   CA   94102,no,http://www.un-cafe.org/
Milk Restaurant 3b Cubed,1152 Valencia St   San Francisco   CA   94110,no,http://www.themilkshop.com/
Filmore Sf,2400 Yorkmont Rd   Charlotte   NC   28217,,None
Conard Montgomery Street Cafe,1385 Mission St #200   San Francisco   CA   94103,yes,
Cornerstone Academy,801 Silver Ave   San Francisco   CA   94134,no,http://www.cornerstone-academy.net/
