DBA_NAME,CLS,PBC,MAIL_ADDR_LINE1,CITY,STATE,MAIL_ZIP
CINQUE,8,3079,425 BUSH ST #444,SAN FRANCISCO,CA,94108-3713
CAFE ETHIOPIA,8,3079,769 GATES ST,SAN FRANCISCO,CA,94110-6057
MISS TOMATO SANDWICH SHOP,8,3079,24 VISTA CT,S SAN FRAN,CA,94080-5549
PIZZA JOINT,8,3079,3088 BALBOA ST,SAN FRANCISCO,CA,94121-2762
MAMA MIA PIZZERIA,8,3079,939 PLYMOUTH AVE,SAN FRANCISCO,CA,94112
JAVA SUPREME,8,3079,703 GUERRERO ST,SAN FRANCISCO,CA,94110-1613
CAFE COLE,8,3079,609 COLE ST,SAN FRANCISCO,CA,94117-2809
ALAMO SQUARE CAFE,8,3079,3186 16TH ST,SAN FRANCISCO,CA,94103-3363
TURK & LARKIN DELI,8,3079,476 TURK ST,SAN FRANCISCO,CA,94102-3330
LA TAQUERIA MENUDO,8,3079,4591 MISSION ST,SAN FRANCISCO,CA,94112-2603
SONNYS DOGGIE CAFE,8,3079,201 HARRISON STREET #622,SAN FRANCISCO,CA,94105-2054
TANUKI RESTAURANT,8,3079,4419 CALIFORNIA ST,SAN FRANCISCO,CA,94118-1212
CAFE GOLO,8,3079,1602 LOMBARD ST,SAN FRANCISCO,CA,94123-3007
KELLYS BURGERS,8,3079,550 BROADWAY ST,SAN FRANCISCO,CA,94133-4520
GALAXCY PIZZA,8,3079,288 GOLDEN GATE AVE,SAN FRANCISCO,CA,94102-3706
DIAMOND SANDWICHES,8,3079,288 GOLDEN GATE AVE,SAN FRANCISCO,CA,94102-3706
PAISANO'S CAFE,8,3079,3017 MISSION ST,SAN FRANCISCO,CA,94110-4501
LITTLE SPOT CAFE THE,8,3079,1199 S VAN NESS AVE,SAN FRANCISCO,CA,94110-3214
MOYA RESTAURANT,8,3079,121 9TH ST,SAN FRANCISCO,CA,94103-2602
TOBACCO PLAZA CENTER,8,3079,3008 16TH ST,SAN FRANCISCO,CA,94103-3403
ROYAL WRAP & GRILL,8,3079,2060 FILLMORE ST,SAN FRANCISCO,CA,94115-2709
ROYAL GROUND COFFEE,8,3079,2060 FILLMORE ST,SAN FRANCISCO,CA,94115-2709
MILAN PIZZA,8,3079,606 GEARY ST,SAN FRANCISCO,CA,94102-1647
MO'Z CAFE,8,3079,36 5TH ST,SAN FRANCISCO,CA,94103-1811
