100300;Grand Chapiteau at AT&amp;T Park;74 Mission Rock Street San Francisco CA 94158 
100400;Grand Chapiteau at Taylor Street Bridge;176 Asbury Street, San Jose, California 95110
100;Marines Memorial Theater - San Francisco;2nd Floor, 609 Sutter Street, San Francisco, CA 94102
110402;Hanford Fox Theatre;326 North Irwin Street, Hanford, CA 93230
113002;Buck Shaw Stadium;500 El Camino Real, Santa Clara, CA 95050
12843;Herbst Theatre;401 Van Ness Avenue, San Francisco, CA 94102
130203;Cascade Theater;1731 Market Street, Redding, CA 96001
13263;Fox Theatre - Redwood City;2223 Broadway Street, Redwood City, CA 94063
136703;Last Day Saloon - Santa Rosa;120 5th Street, Santa Rosa, CA 95401
145804;Fox Theater Oakland;1807 Telegraph Avenue, Oakland, CA 94612
149208;Freight and Salvage;2020 Addison Street, Berkeley, CA 94704
150506;Bottom of the Hill;1233 17th Street, San Francisco, CA 94107
151871;Fat Cat;930 11th Street, Modesto, CA 95354
157233;Henry Miller Library;48603 California 1, Big Sur, CA 93920
161327;Castro Theatre;429 Castro Street, San Francisco, CA 94114
162;Cow Palace;2600 Geneva Avenue, Daly City, CA 94014
165;Bill Graham Civic Auditorium;99 Grove St, San Francisco, CA 94102
166627;Gallo Center For The Arts;1000 I Street, Modesto, CA 95354
172432;Campbell Heritage Theatre;1 W. Campbell Avenue, Campbell, California, 95008
17565;American Conservatory Theater ACT;405 Geary Street, San Francisco, CA 94102
17765;Golden Gate Park - Polo Field - San Francisco;Middle Dr W and Metson Rd, San Francisco, CA 94122
180456;Aptos Village Park;100 Aptos Creek Rd, Aptos, CA 95003
181;Great American Music Hall;859 O'Farrell Street, San Francisco, CA 94109
183353;California Theatre;562 West 4th Street, San Bernardino, CA 92401
202;Flint Center;21250 Stevens Creek Boulevard, Cupertino, CA 95014
206727;Grand Hyatt SF;345 Stockton Street, San Francisco, CA 94108
208802;Fairmont Hotel San Francisco;950 Mason Street, San Francisco, CA 94108
211093;1015 Folsom;1015 Folsom Street, San Francisco, CA 94103
211814;Dry Creek Valley;1207 Vine St # A, Healdsburg, CA 95448
211924;Brick And Mortar Music Hall;1710 Mission Street, San Francisco, CA 94103
212523;Louis Guisto Field;1928 St. Mary's Rd, Moraga, CA 94556
212552;Hawk Hill Tunnel;1 Conzelman Road, Sausalito, CA 94965
212636;Fox Theater Salinas;241 South Main Street, Salinas, CA 93901
212724;Black Repertory Group;3201 Adeline Street, Berkeley, CA 94703
212884;AMC Metreon 16;101 4th Street, San Francisco, CA 94103
223;Maples Pavilion - Palo Alto;615 Serra St Stanford, CA 94305
224;Haas Pavilion - Berkeley;115 Haas Pavilion, Berkeley, CA 94720
23366;Leavey Event Center - Santa Clara;500 El Camino Real, Santa Clara, CA 95053
23865;Bulldog Stadium - Fresno;1600 Bulldog Ln Fresno, CA 93740
301;Davies Symphony Hall;201 Van Ness Ave San Francisco, CA 94102
407;Golden Gate Theatre - San Francisco;1182 Market Street, San Francisco, CA 94102
41282;Harveys Outdoor Amphitheatre At Lake Tahoe - Stateline;18 Hwy 50  Stateline, NV 89449
424;Curran Theatre;445 Geary Street, San Francisco, CA 94102
43080;Ironstone Amphitheatre at Ironstone Vineyards - Murphys;1894 6 Mile Road, Murphys, CA 95222
43481;Marin Veterans Memorial Auditorium at Marin Center - San Rafael;3501 Civic Center Drive, San Rafael, CA 94903
483;Bimbos 365 Club;1025 Columbus Avenue, San Francisco, CA 94133
6383;Avalon Ballroom - San Francisco;1300 Van Ness Avenue, San Francisco, CA 94109
81989;Bob Hope Theatre - Stockton;242 East Main Street, Stockton, CA 95202
82;AT&amp;T Park;24 Willie Mays Plaza, San Francisco, CA 94107
8415;Broadway Studios - San Francisco;435 Broadway, San Fransico, CA 94133
85;Candlestick Park - San Francisco;490 Jamestown Avenue, San Francisco, CA 94124
88;HP Pavilion;525 W Santa Clara St San Jose, CA 95113
92894;Cobbs Comedy Club;915 Columbus Avenue, San Francisco, CA 94133
92;Fillmore SF - San Francisco;2261 Fillmore St San Francisco, CA 94115
9623;Cafe Du Nord;2170 Market Street, San Francisco, CA 94114
96;Greek Theatre - Berkeley;2001 Gayley Road, Berkeley, CA 94720
